data,turno,premio1,premio2,premio3,premio4,premio5,premio6,premio7,premio8,premio9,premio10
30/11/2022,Tarde,6591,8714,8117,0857,2462,7537,9826,9603,6591,3395
30/11/2022,Manhã,7179,4155,6231,1943,7271,9658,1305,2683,6023,5892
29/11/2022,Noite,4279,4348,6410,7131,8792,4136,9364,7822,1816,5401
29/11/2022,Tarde,3269,6669,7574,7724,9508,6351,0634,8523,8763,7177
29/11/2022,Manhã,6991,0476,6159,3276,4966,8404,7647,8632,0316,9410
28/11/2022,Noite,5224,0959,3450,6010,6146,9996,1559,5341,0435,5938
28/11/2022,Tarde,5443,7854,0260,7559,4414,9284,4079,1804,3792,7311
28/11/2022,Manhã,0329,9829,0266,7680,3631,7630,9476,2690,5354,9364
26/11/2022,Noite,5716,8120,8153,8053,2719,1655,1744,2093,6100,8896
26/11/2022,Tarde,9743,5766,3494,4667,8919,3777,0381,0280,9675,0413
26/11/2022,Manhã,8234,7745,7211,3888,8682,6932,5346,6344,4480,9407
25/11/2022,Noite,5530,6954,0426,5655,3421,8919,4596,1091,1644,7980
25/11/2022,Tarde,0377,0039,5316,1833,6559,2883,2400,6001,0743,8312
25/11/2022,Manhã,1775,7390,9344,1084,3627,8838,0576,4932,9775,4319
24/11/2022,Noite,2017,9019,7718,0953,1417,3606,5132,8441,1220,0223
24/11/2022,Tarde,9269,4974,8770,9181,9545,6629,3979,8235,2338,6470
24/11/2022,Manhã,2018,5886,5186,2806,5534,4577,0495,7689,6741,8875
23/11/2022,Noite,0725,4536,6799,6200,1871,1021,7620,9777,3619,8746
23/11/2022,Tarde,9654,8900,3926,5280,9610,0297,7582,1429,6688,2042
23/11/2022,Manhã,5465,6838,4822,2305,9666,9233,4780,7301,5055,0394
22/11/2022,Noite,4370,4476,0225,7070,2606,9998,4574,3113,8805,7471
22/11/2022,Tarde,7489,3422,3862,2519,0083,4395,2669,2166,7687,1650
22/11/2022,Manhã,4571,6990,0768,1415,0725,5781,2824,6625,8591,3755
21/11/2022,Noite,6194,4611,2816,1025,4566,3392,6333,1292,1139,9793
21/11/2022,Tarde,4333,9076,5926,7714,3214,4307,2351,4259,7870,9383
21/11/2022,Manhã,3570,0545,0319,1078,8386,3821,8137,0157,5942,8155
